Positive,Negative,Easy,Hard
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Trees'],"['Alfalfa', 'Corn', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Corn', 'Grass']","['Trees', 'Alfalfa']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Grass', 'Alfalfa', 'Corn']",['Trees']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Corn'],"['Alfalfa', 'Trees', 'Grass']"
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']","['Trees', 'Grass', 'Corn']",['Alfalfa']
"['Oats', 'Soybeans', 'Wheat']","['Corn', 'Grass', 'Trees', 'Alfalfa']",['Corn'],"['Grass', 'Trees', 'Alfalfa']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Wheat', 'Grass', 'Oats', 'Alfalfa']","['Soybeans', 'Trees']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Oats', 'Wheat', 'Trees', 'Soybeans']","['Alfalfa', 'Grass']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Grass', 'Oats', 'Alfalfa']","['Wheat', 'Soybeans', 'Trees']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Trees', 'Alfalfa', 'Soybeans', 'Grass', 'Wheat']",['Oats']
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Trees', 'Alfalfa', 'Soybeans', 'Wheat']","['Oats', 'Grass']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Soybeans', 'Trees', 'Grass', 'Oats', 'Wheat']",['Alfalfa']
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Soybeans', 'Grass', 'Trees']","['Oats', 'Alfalfa', 'Wheat']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Wheat', 'Trees']","['Grass', 'Oats', 'Soybeans', 'Alfalfa']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Oats', 'Alfalfa']","['Grass', 'Wheat', 'Soybeans', 'Trees']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']",['Alfalfa'],"['Oats', 'Trees', 'Grass', 'Wheat', 'Soybeans']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Alfalfa', 'Trees', 'Oats']","['Grass', 'Wheat', 'Soybeans']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Trees', 'Grass', 'Soybeans', 'Oats']","['Wheat', 'Alfalfa']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Grass', 'Trees', 'Oats', 'Wheat']","['Alfalfa', 'Soybeans']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']",['Grass'],"['Wheat', 'Alfalfa', 'Soybeans', 'Trees', 'Oats']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Grass', 'Trees']","['Soybeans', 'Wheat', 'Alfalfa', 'Oats']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Grass', 'Alfalfa']","['Soybeans', 'Wheat', 'Trees', 'Oats']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Soybeans', 'Trees', 'Oats']","['Alfalfa', 'Grass', 'Wheat']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Wheat', 'Oats', 'Alfalfa', 'Soybeans', 'Grass']",['Trees']
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Alfalfa', 'Soybeans', 'Oats', 'Wheat', 'Trees']",['Grass']
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Alfalfa', 'Trees', 'Wheat']","['Grass', 'Oats', 'Soybeans']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Oats', 'Grass', 'Alfalfa']","['Trees', 'Soybeans', 'Wheat']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Trees', 'Wheat']","['Alfalfa', 'Soybeans', 'Oats', 'Grass']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Wheat', 'Soybeans', 'Grass']","['Trees', 'Oats', 'Alfalfa']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']",['Trees'],"['Alfalfa', 'Soybeans', 'Oats', 'Grass', 'Wheat']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']",['Grass'],"['Oats', 'Trees', 'Wheat', 'Soybeans', 'Alfalfa']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Grass', 'Oats']","['Soybeans', 'Wheat', 'Trees', 'Alfalfa']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Oats', 'Wheat']","['Alfalfa', 'Grass', 'Soybeans', 'Trees']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']",['Grass'],"['Oats', 'Trees', 'Wheat', 'Alfalfa', 'Soybeans']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']",['Wheat'],"['Alfalfa', 'Grass', 'Soybeans', 'Oats', 'Trees']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Alfalfa', 'Oats', 'Trees']","['Soybeans', 'Grass', 'Wheat']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Wheat', 'Oats', 'Alfalfa', 'Soybeans', 'Grass']",['Trees']
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Alfalfa', 'Trees']","['Oats', 'Grass', 'Soybeans', 'Wheat']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Soybeans', 'Alfalfa', 'Wheat', 'Grass', 'Oats']",['Trees']
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Trees', 'Soybeans', 'Wheat', 'Oats', 'Grass']",['Alfalfa']
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Wheat', 'Soybeans', 'Grass']","['Trees', 'Oats', 'Alfalfa']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Trees', 'Soybeans']","['Wheat', 'Alfalfa', 'Grass', 'Oats']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Soybeans', 'Alfalfa', 'Grass', 'Oats']","['Trees', 'Wheat']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Grass', 'Oats']","['Soybeans', 'Trees', 'Wheat', 'Alfalfa']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Oats', 'Alfalfa']","['Trees', 'Wheat', 'Soybeans', 'Grass']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Trees', 'Wheat']","['Oats', 'Alfalfa', 'Soybeans', 'Grass']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Wheat', 'Alfalfa', 'Oats', 'Trees']","['Grass', 'Soybeans']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Alfalfa', 'Wheat', 'Oats', 'Trees']","['Soybeans', 'Grass']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']",['Trees'],"['Alfalfa', 'Oats', 'Soybeans', 'Grass', 'Wheat']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']",['Grass'],"['Soybeans', 'Oats', 'Wheat', 'Alfalfa', 'Trees']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']",['Soybeans'],"['Alfalfa', 'Trees', 'Oats', 'Grass', 'Wheat']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Grass', 'Wheat', 'Alfalfa', 'Oats']","['Trees', 'Soybeans']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Trees', 'Oats', 'Wheat', 'Soybeans']","['Grass', 'Alfalfa']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Alfalfa', 'Soybeans', 'Trees', 'Grass']","['Wheat', 'Oats']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']","['Alfalfa', 'Grass']","['Wheat', 'Oats', 'Trees', 'Soybeans']"
['Hay'],"['Wheat', 'Trees', 'Grass', 'Soybeans', 'Oats', 'Alfalfa']",['Alfalfa'],"['Trees', 'Grass', 'Oats', 'Wheat', 'Soybeans']"
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Corn'],['Grass']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Alfalfa', 'Hay', 'Wheat', 'Trees']","['Grass', 'Corn']",['Grass'],['Corn']
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Hay', 'Alfalfa', 'Trees']","['Grass', 'Wheat']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']",['Trees'],"['Alfalfa', 'Hay', 'Grass', 'Wheat']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Hay', 'Grass']","['Wheat', 'Trees', 'Alfalfa']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Trees', 'Alfalfa']","['Grass', 'Wheat', 'Hay']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Wheat', 'Grass', 'Trees']","['Alfalfa', 'Hay']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Trees', 'Alfalfa', 'Hay']","['Grass', 'Wheat']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Hay', 'Grass', 'Wheat']","['Alfalfa', 'Trees']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Alfalfa', 'Grass', 'Trees', 'Hay']",['Wheat']
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Wheat', 'Grass', 'Hay', 'Trees']",['Alfalfa']
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Grass', 'Alfalfa', 'Hay']","['Trees', 'Wheat']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']",['Alfalfa'],"['Hay', 'Grass', 'Wheat', 'Trees']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Grass', 'Hay', 'Trees']","['Alfalfa', 'Wheat']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Hay', 'Grass', 'Wheat']","['Alfalfa', 'Trees']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']",['Wheat'],"['Alfalfa', 'Trees', 'Grass', 'Hay']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']",['Alfalfa'],"['Hay', 'Grass', 'Trees', 'Wheat']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']",['Alfalfa'],"['Grass', 'Wheat', 'Hay', 'Trees']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Grass', 'Trees']","['Wheat', 'Alfalfa', 'Hay']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']",['Grass'],"['Trees', 'Wheat', 'Hay', 'Alfalfa']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Hay', 'Wheat', 'Trees']","['Grass', 'Alfalfa']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Hay', 'Alfalfa', 'Wheat', 'Trees']",['Grass']
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']",['Trees'],"['Hay', 'Wheat', 'Grass', 'Alfalfa']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Grass', 'Wheat', 'Trees']","['Alfalfa', 'Hay']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Alfalfa', 'Grass', 'Trees', 'Wheat']",['Hay']
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']",['Alfalfa'],"['Wheat', 'Grass', 'Hay', 'Trees']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Alfalfa', 'Hay', 'Trees']","['Grass', 'Wheat']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Alfalfa', 'Wheat', 'Trees', 'Hay']",['Grass']
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']",['Wheat'],"['Grass', 'Hay', 'Alfalfa', 'Trees']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Wheat', 'Grass', 'Trees']","['Hay', 'Alfalfa']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Wheat', 'Alfalfa']","['Trees', 'Hay', 'Grass']"
"['Oats', 'Soybeans']","['Trees', 'Wheat', 'Alfalfa', 'Grass', 'Hay']","['Wheat', 'Trees', 'Alfalfa']","['Grass', 'Hay']"
