qnt,batch_index,c1_p,c2_p,c3_p,c4_p,c5_p,c7_p,c1_p_normalized,c2_p_normalized,c3_p_normalized,c4_p_normalized,c5_p_normalized,c7_p_normalized,c1_real,c2_real,c3_real,c4_real,c5_real,c7_real
ACC_syn,302,0.87,0.97,0.63,1.0,0.96,0.82,0.17,0.18,0.12,0.19,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
PACC_syn,302,0.87,0.97,0.64,0.82,0.93,0.77,0.17,0.19,0.13,0.16,0.19,0.16,0.1,0.03,0.41,0.27,0.06,0.13
X_syn,302,0.74,0.88,0.39,0.08,0.43,0.17,0.28,0.33,0.14,0.03,0.16,0.06,0.1,0.03,0.41,0.27,0.06,0.13
MAX_syn,302,0.74,0.88,0.39,0.08,0.43,0.17,0.28,0.33,0.14,0.03,0.16,0.06,0.1,0.03,0.41,0.27,0.06,0.13
T50_syn,302,0.83,0.94,0.66,1.0,1.0,0.9,0.16,0.18,0.12,0.19,0.19,0.17,0.1,0.03,0.41,0.27,0.06,0.13
MS_syn,302,0.87,0.97,0.62,1.0,0.96,0.82,0.17,0.19,0.12,0.19,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
MS2_syn,302,0.87,0.97,0.63,1.0,0.96,0.82,0.17,0.18,0.12,0.19,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
SMM_syn,302,0.95,1.0,0.66,1.0,1.0,0.84,0.17,0.18,0.12,0.18,0.18,0.15,0.1,0.03,0.41,0.27,0.06,0.13
HDy_syn,302,0.88,0.96,0.58,1.0,0.98,0.88,0.17,0.18,0.11,0.19,0.19,0.17,0.1,0.03,0.41,0.27,0.06,0.13
DyS_cdt,302,0.89,0.97,0.58,0.33,0.95,0.79,0.2,0.21,0.13,0.07,0.21,0.18,0.1,0.03,0.41,0.27,0.06,0.13
ACC_cdt,302,0.11,0.0,0.3,0.0,0.0,0.0,0.26,0.0,0.74,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
PACC_cdt,302,0.88,0.97,0.6,0.29,1.0,0.78,0.19,0.22,0.13,0.06,0.22,0.17,0.1,0.03,0.41,0.27,0.06,0.13
X_cdt,302,0.09,0.01,0.28,0.0,0.0,0.02,0.22,0.02,0.71,0.0,0.0,0.06,0.1,0.03,0.41,0.27,0.06,0.13
MAX_cdt,302,0.08,0.01,0.23,0.0,0.0,0.03,0.24,0.02,0.65,0.0,0.0,0.1,0.1,0.03,0.41,0.27,0.06,0.13
T50_cdt,302,0.04,0.0,0.07,0.0,0.0,0.0,0.34,0.0,0.66,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS_cdt,302,0.09,0.0,0.28,0.0,0.0,0.0,0.24,0.0,0.76,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS2_cdt,302,0.09,0.0,0.28,0.0,0.0,0.0,0.24,0.0,0.76,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
SMM_cdt,302,0.88,0.97,0.6,0.29,1.0,0.78,0.19,0.21,0.13,0.06,0.22,0.17,0.1,0.03,0.41,0.27,0.06,0.13
HDy_cdt,302,0.9,0.97,0.62,0.42,0.98,0.84,0.19,0.2,0.13,0.09,0.21,0.18,0.1,0.03,0.41,0.27,0.06,0.13
CC2,302,0.14,0.03,0.39,0.2,0.05,0.19,0.14,0.03,0.39,0.2,0.05,0.19,0.1,0.03,0.41,0.27,0.06,0.13
PWK,302,0.11,0.04,0.38,0.28,0.06,0.13,0.11,0.04,0.38,0.28,0.06,0.13,0.1,0.03,0.41,0.27,0.06,0.13
HDx,302,0.04,0.0,0.36,0.26,0.0,0.14,0.04,0.0,0.36,0.26,0.0,0.14,0.1,0.03,0.41,0.27,0.06,0.13
GAC,302,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.03,0.41,0.27,0.06,0.13
GPAC,302,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1,0.03,0.41,0.27,0.06,0.13
FM,302,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
EMQ,302,0.11,0.03,0.3,0.4,0.05,0.1,0.11,0.03,0.3,0.4,0.05,0.1,0.1,0.03,0.41,0.27,0.06,0.13
KDEyHD,302,0.34,0.48,0.11,0.0,0.0,0.08,0.34,0.48,0.11,0.0,0.0,0.08,0.1,0.03,0.41,0.27,0.06,0.13
KDEyCS,302,0.0,0.83,0.17,0.0,0.0,0.0,0.0,0.83,0.17,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
KDEyML,302,0.0,0.58,0.33,0.0,0.09,0.0,0.0,0.58,0.33,0.0,0.09,0.0,0.1,0.03,0.41,0.27,0.06,0.13
CC,303,0.9,0.97,0.6,1.0,0.96,0.85,0.17,0.18,0.11,0.19,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
PCC,303,0.9,0.97,0.6,0.86,0.93,0.79,0.18,0.19,0.12,0.17,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
ACC,303,0.08,0.0,0.34,0.0,0.0,0.0,0.19,0.0,0.81,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
PACC,303,0.91,0.97,0.55,0.52,1.0,0.81,0.19,0.2,0.11,0.11,0.21,0.17,0.1,0.03,0.41,0.27,0.06,0.13
T50,303,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MAX,303,0.07,0.01,0.27,0.0,0.0,0.0,0.21,0.02,0.77,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS,303,0.07,0.0,0.32,0.0,0.0,0.0,0.18,0.0,0.82,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS2,303,0.07,0.0,0.32,0.0,0.0,0.0,0.18,0.0,0.82,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
X,303,0.07,0.01,0.31,0.0,0.0,0.0,0.17,0.02,0.81,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
SMM,303,0.91,0.97,0.55,0.52,1.0,0.81,0.19,0.2,0.12,0.11,0.21,0.17,0.1,0.03,0.41,0.27,0.06,0.13
DyS,303,0.91,0.97,0.52,0.46,0.98,0.84,0.19,0.21,0.11,0.1,0.21,0.18,0.1,0.03,0.41,0.27,0.06,0.13
DySyn,303,0.9,0.96,0.59,1.0,0.96,0.9,0.17,0.18,0.11,0.19,0.18,0.17,0.1,0.03,0.41,0.27,0.06,0.13
HDy,303,0.91,0.97,0.54,0.48,0.99,0.9,0.19,0.2,0.11,0.1,0.21,0.19,0.1,0.03,0.41,0.27,0.06,0.13
ACC_syn,303,0.9,0.97,0.6,1.0,0.96,0.85,0.17,0.18,0.11,0.19,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
PACC_syn,303,0.9,0.97,0.6,0.86,0.93,0.79,0.18,0.19,0.12,0.17,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
X_syn,303,0.78,0.89,0.3,0.1,0.46,0.15,0.29,0.33,0.11,0.04,0.17,0.06,0.1,0.03,0.41,0.27,0.06,0.13
MAX_syn,303,0.78,0.89,0.3,0.1,0.46,0.15,0.29,0.33,0.11,0.04,0.17,0.06,0.1,0.03,0.41,0.27,0.06,0.13
T50_syn,303,0.84,0.94,0.61,1.0,0.96,0.92,0.16,0.18,0.12,0.19,0.18,0.17,0.1,0.03,0.41,0.27,0.06,0.13
MS_syn,303,0.9,0.97,0.56,1.0,0.96,0.85,0.17,0.19,0.11,0.19,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
MS2_syn,303,0.9,0.97,0.56,1.0,0.96,0.84,0.17,0.19,0.11,0.19,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
SMM_syn,303,0.98,1.0,0.62,0.94,1.0,0.86,0.18,0.19,0.11,0.17,0.19,0.16,0.1,0.03,0.41,0.27,0.06,0.13
HDy_syn,303,0.92,0.96,0.55,1.0,0.98,0.93,0.17,0.18,0.1,0.19,0.18,0.17,0.1,0.03,0.41,0.27,0.06,0.13
DyS_cdt,303,0.91,0.97,0.52,0.46,0.98,0.84,0.19,0.21,0.11,0.1,0.21,0.18,0.1,0.03,0.41,0.27,0.06,0.13
ACC_cdt,303,0.08,0.0,0.34,0.0,0.0,0.0,0.19,0.0,0.81,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
PACC_cdt,303,0.91,0.97,0.55,0.52,1.0,0.81,0.19,0.2,0.11,0.11,0.21,0.17,0.1,0.03,0.41,0.27,0.06,0.13
X_cdt,303,0.07,0.01,0.31,0.0,0.0,0.0,0.17,0.02,0.81,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MAX_cdt,303,0.07,0.01,0.27,0.0,0.0,0.0,0.21,0.02,0.77,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
T50_cdt,303,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS_cdt,303,0.07,0.0,0.32,0.0,0.0,0.0,0.18,0.0,0.82,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS2_cdt,303,0.07,0.0,0.32,0.0,0.0,0.0,0.18,0.0,0.82,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
SMM_cdt,303,0.91,0.97,0.55,0.52,1.0,0.81,0.19,0.2,0.12,0.11,0.21,0.17,0.1,0.03,0.41,0.27,0.06,0.13
HDy_cdt,303,0.91,0.97,0.54,0.48,0.99,0.9,0.19,0.2,0.11,0.1,0.21,0.19,0.1,0.03,0.41,0.27,0.06,0.13
CC2,303,0.11,0.03,0.46,0.16,0.07,0.17,0.11,0.03,0.46,0.16,0.07,0.17,0.1,0.03,0.41,0.27,0.06,0.13
PWK,303,0.1,0.03,0.43,0.26,0.08,0.1,0.1,0.03,0.43,0.26,0.08,0.1,0.1,0.03,0.41,0.27,0.06,0.13
HDx,303,0.0,0.0,0.47,0.28,0.0,0.03,0.0,0.0,0.47,0.28,0.0,0.03,0.1,0.03,0.41,0.27,0.06,0.13
GAC,303,0.0,1.0,1.0,0.44,0.0,1.0,0.0,1.0,1.0,0.44,0.0,1.0,0.1,0.03,0.41,0.27,0.06,0.13
GPAC,303,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1,0.03,0.41,0.27,0.06,0.13
FM,303,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
EMQ,303,0.1,0.03,0.39,0.34,0.06,0.08,0.1,0.03,0.39,0.34,0.06,0.08,0.1,0.03,0.41,0.27,0.06,0.13
KDEyHD,303,0.25,0.63,0.0,0.07,0.0,0.05,0.25,0.63,0.0,0.07,0.0,0.05,0.1,0.03,0.41,0.27,0.06,0.13
KDEyCS,303,0.0,0.81,0.19,0.0,0.0,0.0,0.0,0.81,0.19,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
KDEyML,303,0.31,0.62,0.0,0.0,0.0,0.07,0.31,0.62,0.0,0.0,0.0,0.07,0.1,0.03,0.41,0.27,0.06,0.13
CC,304,0.9,0.97,0.57,0.99,0.98,0.8,0.17,0.19,0.11,0.19,0.19,0.15,0.1,0.03,0.41,0.27,0.06,0.13
PCC,304,0.9,0.96,0.58,0.84,0.94,0.77,0.18,0.19,0.12,0.17,0.19,0.15,0.1,0.03,0.41,0.27,0.06,0.13
ACC,304,0.08,0.0,0.37,0.0,0.0,0.0,0.17,0.0,0.83,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
PACC,304,0.91,0.97,0.53,0.3,1.0,0.77,0.2,0.22,0.12,0.07,0.22,0.17,0.1,0.03,0.41,0.27,0.06,0.13
T50,304,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MAX,304,0.07,0.01,0.28,0.0,0.0,0.0,0.2,0.02,0.78,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS,304,0.07,0.0,0.35,0.0,0.0,0.0,0.17,0.0,0.83,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS2,304,0.07,0.0,0.35,0.0,0.0,0.0,0.17,0.0,0.83,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
X,304,0.08,0.01,0.34,0.0,0.0,0.0,0.18,0.02,0.81,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
SMM,304,0.91,0.97,0.53,0.3,1.0,0.77,0.2,0.22,0.12,0.07,0.22,0.17,0.1,0.03,0.41,0.27,0.06,0.13
DyS,304,0.92,0.97,0.52,0.3,0.98,0.81,0.2,0.22,0.12,0.07,0.22,0.18,0.1,0.03,0.41,0.27,0.06,0.13
DySyn,304,0.88,0.96,0.56,1.0,0.99,0.88,0.17,0.18,0.11,0.19,0.19,0.17,0.1,0.03,0.41,0.27,0.06,0.13
HDy,304,0.92,0.97,0.55,0.37,0.99,0.89,0.2,0.21,0.12,0.08,0.21,0.19,0.1,0.03,0.41,0.27,0.06,0.13
ACC_syn,304,0.9,0.97,0.57,0.99,0.98,0.78,0.17,0.19,0.11,0.19,0.19,0.15,0.1,0.03,0.41,0.27,0.06,0.13
PACC_syn,304,0.9,0.96,0.58,0.82,0.94,0.75,0.18,0.19,0.12,0.17,0.19,0.15,0.1,0.03,0.41,0.27,0.06,0.13
X_syn,304,0.83,0.89,0.31,0.1,0.44,0.14,0.31,0.33,0.11,0.04,0.16,0.05,0.1,0.03,0.41,0.27,0.06,0.13
MAX_syn,304,0.83,0.89,0.31,0.1,0.44,0.14,0.31,0.33,0.11,0.04,0.16,0.05,0.1,0.03,0.41,0.27,0.06,0.13
T50_syn,304,0.86,0.94,0.56,1.0,1.0,0.86,0.17,0.18,0.11,0.19,0.19,0.16,0.1,0.03,0.41,0.27,0.06,0.13
MS_syn,304,0.9,0.97,0.56,0.99,0.98,0.77,0.17,0.19,0.11,0.19,0.19,0.15,0.1,0.03,0.41,0.27,0.06,0.13
MS2_syn,304,0.9,0.97,0.56,0.98,0.97,0.77,0.17,0.19,0.11,0.19,0.19,0.15,0.1,0.03,0.41,0.27,0.06,0.13
SMM_syn,304,0.99,1.0,0.61,1.0,1.0,1.0,0.18,0.18,0.11,0.18,0.18,0.18,0.1,0.03,0.41,0.27,0.06,0.13
HDy_syn,304,0.89,0.96,0.54,1.0,0.99,0.92,0.17,0.18,0.1,0.19,0.19,0.17,0.1,0.03,0.41,0.27,0.06,0.13
DyS_cdt,304,0.92,0.97,0.52,0.3,0.98,0.81,0.2,0.22,0.12,0.07,0.22,0.18,0.1,0.03,0.41,0.27,0.06,0.13
ACC_cdt,304,0.08,0.0,0.37,0.0,0.0,0.0,0.17,0.0,0.83,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
PACC_cdt,304,0.91,0.97,0.53,0.3,1.0,0.77,0.2,0.22,0.12,0.07,0.22,0.17,0.1,0.03,0.41,0.27,0.06,0.13
X_cdt,304,0.08,0.01,0.34,0.0,0.0,0.0,0.18,0.02,0.81,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MAX_cdt,304,0.07,0.01,0.28,0.0,0.0,0.0,0.2,0.02,0.78,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
T50_cdt,304,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS_cdt,304,0.07,0.0,0.35,0.0,0.0,0.0,0.17,0.0,0.83,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS2_cdt,304,0.07,0.0,0.35,0.0,0.0,0.0,0.17,0.0,0.83,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
SMM_cdt,304,0.91,0.97,0.53,0.3,1.0,0.77,0.2,0.22,0.12,0.07,0.22,0.17,0.1,0.03,0.41,0.27,0.06,0.13
HDy_cdt,304,0.92,0.97,0.55,0.37,0.99,0.89,0.2,0.21,0.12,0.08,0.21,0.19,0.1,0.03,0.41,0.27,0.06,0.13
CC2,304,0.1,0.03,0.45,0.16,0.05,0.21,0.1,0.03,0.45,0.16,0.05,0.21,0.1,0.03,0.41,0.27,0.06,0.13
PWK,304,0.11,0.04,0.41,0.27,0.05,0.12,0.11,0.04,0.41,0.27,0.05,0.12,0.1,0.03,0.41,0.27,0.06,0.13
HDx,304,0.0,0.0,0.34,0.3,0.0,0.18,0.0,0.0,0.34,0.3,0.0,0.18,0.1,0.03,0.41,0.27,0.06,0.13
GAC,304,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.03,0.41,0.27,0.06,0.13
GPAC,304,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.03,0.41,0.27,0.06,0.13
FM,304,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
EMQ,304,0.09,0.03,0.41,0.29,0.05,0.12,0.09,0.03,0.41,0.29,0.05,0.12,0.1,0.03,0.41,0.27,0.06,0.13
KDEyHD,304,0.16,0.7,0.15,0.0,0.0,0.0,0.16,0.7,0.15,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
KDEyCS,304,0.0,0.76,0.24,0.0,0.0,0.0,0.0,0.76,0.24,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
KDEyML,304,0.24,0.76,0.0,0.0,0.0,0.0,0.24,0.76,0.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
CC,305,0.9,0.97,0.58,0.99,0.96,0.85,0.17,0.18,0.11,0.19,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
PCC,305,0.91,0.97,0.58,0.84,0.93,0.78,0.18,0.19,0.12,0.17,0.19,0.16,0.1,0.03,0.41,0.27,0.06,0.13
ACC,305,0.08,0.0,0.36,0.0,0.0,0.0,0.18,0.0,0.82,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
PACC,305,0.91,0.97,0.52,0.28,1.0,0.79,0.2,0.22,0.12,0.06,0.22,0.18,0.1,0.03,0.41,0.27,0.06,0.13
T50,305,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MAX,305,0.07,0.01,0.34,0.0,0.0,0.0,0.17,0.02,0.81,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS,305,0.06,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.85,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS2,305,0.06,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.85,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
X,305,0.07,0.01,0.38,0.0,0.0,0.0,0.14,0.02,0.84,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
SMM,305,0.91,0.97,0.52,0.28,1.0,0.79,0.2,0.22,0.12,0.06,0.22,0.18,0.1,0.03,0.41,0.27,0.06,0.13
DyS,305,0.92,0.97,0.52,0.28,0.96,0.83,0.21,0.22,0.12,0.06,0.21,0.19,0.1,0.03,0.41,0.27,0.06,0.13
DySyn,305,0.88,0.96,0.54,1.0,0.98,0.91,0.17,0.18,0.1,0.19,0.19,0.17,0.1,0.03,0.41,0.27,0.06,0.13
HDy,305,0.92,0.97,0.56,0.36,0.99,0.94,0.2,0.2,0.12,0.08,0.21,0.2,0.1,0.03,0.41,0.27,0.06,0.13
ACC_syn,305,0.9,0.97,0.58,0.99,0.96,0.83,0.17,0.19,0.11,0.19,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
PACC_syn,305,0.91,0.97,0.58,0.82,0.93,0.75,0.18,0.19,0.12,0.17,0.19,0.15,0.1,0.03,0.41,0.27,0.06,0.13
X_syn,305,0.84,0.92,0.35,0.07,0.49,0.15,0.3,0.33,0.12,0.02,0.17,0.05,0.1,0.03,0.41,0.27,0.06,0.13
MAX_syn,305,0.84,0.92,0.35,0.07,0.49,0.15,0.3,0.33,0.12,0.02,0.17,0.05,0.1,0.03,0.41,0.27,0.06,0.13
T50_syn,305,0.85,0.94,0.56,1.0,0.98,0.92,0.16,0.18,0.11,0.19,0.19,0.18,0.1,0.03,0.41,0.27,0.06,0.13
MS_syn,305,0.9,0.97,0.56,0.99,0.96,0.79,0.17,0.19,0.11,0.19,0.19,0.15,0.1,0.03,0.41,0.27,0.06,0.13
MS2_syn,305,0.9,0.97,0.56,0.98,0.96,0.78,0.17,0.19,0.11,0.19,0.19,0.15,0.1,0.03,0.41,0.27,0.06,0.13
SMM_syn,305,1.0,1.0,0.59,1.0,1.0,1.0,0.18,0.18,0.11,0.18,0.18,0.18,0.1,0.03,0.41,0.27,0.06,0.13
HDy_syn,305,0.87,0.95,0.47,1.0,0.99,0.92,0.17,0.18,0.09,0.19,0.19,0.18,0.1,0.03,0.41,0.27,0.06,0.13
DyS_cdt,305,0.92,0.97,0.52,0.28,0.96,0.83,0.21,0.22,0.12,0.06,0.21,0.19,0.1,0.03,0.41,0.27,0.06,0.13
ACC_cdt,305,0.08,0.0,0.36,0.0,0.0,0.0,0.18,0.0,0.82,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
PACC_cdt,305,0.91,0.97,0.52,0.28,1.0,0.79,0.2,0.22,0.12,0.06,0.22,0.18,0.1,0.03,0.41,0.27,0.06,0.13
X_cdt,305,0.07,0.01,0.38,0.0,0.0,0.0,0.14,0.02,0.84,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MAX_cdt,305,0.07,0.01,0.34,0.0,0.0,0.0,0.17,0.02,0.81,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
T50_cdt,305,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS_cdt,305,0.06,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.85,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS2_cdt,305,0.06,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.85,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
SMM_cdt,305,0.91,0.97,0.52,0.28,1.0,0.79,0.2,0.22,0.12,0.06,0.22,0.18,0.1,0.03,0.41,0.27,0.06,0.13
HDy_cdt,305,0.92,0.97,0.56,0.36,0.99,0.94,0.2,0.2,0.12,0.08,0.21,0.2,0.1,0.03,0.41,0.27,0.06,0.13
CC2,305,0.1,0.03,0.45,0.18,0.05,0.19,0.1,0.03,0.45,0.18,0.05,0.19,0.1,0.03,0.41,0.27,0.06,0.13
PWK,305,0.1,0.05,0.35,0.32,0.06,0.12,0.1,0.05,0.35,0.32,0.06,0.12,0.1,0.03,0.41,0.27,0.06,0.13
HDx,305,0.01,0.0,0.42,0.2,0.0,0.09,0.01,0.0,0.42,0.2,0.0,0.09,0.1,0.03,0.41,0.27,0.06,0.13
GAC,305,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.1,0.03,0.41,0.27,0.06,0.13
GPAC,305,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1,0.03,0.41,0.27,0.06,0.13
FM,305,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
EMQ,305,0.09,0.03,0.39,0.37,0.05,0.06,0.09,0.03,0.39,0.37,0.05,0.06,0.1,0.03,0.41,0.27,0.06,0.13
KDEyHD,305,0.0,0.77,0.16,0.0,0.0,0.07,0.0,0.77,0.16,0.0,0.0,0.07,0.1,0.03,0.41,0.27,0.06,0.13
KDEyCS,305,0.0,0.68,0.32,0.0,0.0,0.0,0.0,0.68,0.32,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
KDEyML,305,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
CC,306,0.89,0.97,0.61,0.99,0.98,0.86,0.17,0.18,0.12,0.19,0.18,0.16,0.1,0.03,0.41,0.27,0.06,0.13
PCC,306,0.88,0.97,0.58,0.86,0.95,0.8,0.18,0.19,0.12,0.17,0.19,0.16,0.1,0.03,0.41,0.27,0.06,0.13
ACC,306,0.09,0.0,0.32,0.0,0.0,0.0,0.21,0.0,0.79,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
PACC,306,0.89,0.97,0.53,0.53,1.0,0.81,0.19,0.21,0.11,0.11,0.21,0.17,0.1,0.03,0.41,0.27,0.06,0.13
T50,306,0.08,0.0,0.22,0.0,0.0,0.0,0.26,0.0,0.74,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MAX,306,0.08,0.01,0.34,0.0,0.0,0.0,0.19,0.02,0.79,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS,306,0.08,0.0,0.33,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
MS2,306,0.08,0.0,0.33,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
X,306,0.08,0.0,0.37,0.0,0.0,0.0,0.17,0.0,0.83,0.0,0.0,0.0,0.1,0.03,0.41,0.27,0.06,0.13
SMM,306,0.89,0.97,0.53,0.53,1.0,0.81,0.19,0.21,0.11,0.11,0.21,0.17,0.1,0.03,0.41,0.27,0.06,0.13
DyS,306,0.9,0.97,0.54,0.48,0.98,0.87,0.19,0.21,0.11,0.1,0.21,0.18,0.1,0.03,0.41,0.27,0.06,0.13
DySyn,306,0.89,0.96,0.6,1.0,0.99,0.91,0.17,0.18,0.11,0.19,0.19,0.17,0.1,0.03,0.41,0.27,0.06,0.13
HDy,306,0.9,0.98,0.58,0.51,0.99,0.92,0.18,0.2,0.12,0.1,0.2,0.19,0.1,0.03,0.41,0.27,0.06,0.13
ACC_syn,306,0.89,0.97,0.61,0.99,0.98,0.84,0.17,0.18,0.12,0.19,0.19,0.16,0.1,0.03,0.41,0.27,0.06,0.13
PACC_syn,306,0.88,0.97,0.58,0.86,0.95,0.77,0.18,0.19,0.12,0.17,0.19,0.15,0.1,0.03,0.41,0.27,0.06,0.13
X_syn,306,0.71,0.94,0.31,0.09,0.49,0.19,0.26,0.34,0.11,0.03,0.18,0.07,0.1,0.03,0.41,0.27,0.06,0.13
MAX_syn,306,0.71,0.94,0.31,0.09,0.49,0.19,0.26,0.34,0.11,0.03,0.18,0.07,0.1,0.03,0.41,0.27,0.06,0.13
T50_syn,306,0.83,0.96,0.44,1.0,1.0,0.92,0.16,0.19,0.09,0.19,0.19,0.18,0.1,0.03,0.41,0.27,0.06,0.13
MS_syn,306,0.89,0.97,0.57,0.99,0.98,0.84,0.17,0.18,0.11,0.19,0.19,0.16,0.1,0.03,0.41,0.27,0.06,0.13
